company,company_id,ticker,industry,company_url,market_cap_2026_01_01
SL Green Realty,Q7391016,SLG,real estate investment trust,http://www.wikidata.org/entity/Q7391016,9630522698.205566
Vistra,Q104158381,VST,,http://www.wikidata.org/entity/Q104158381,9580553760.406494
LG Display,Q483006,LPL,electronics,http://www.wikidata.org/entity/Q483006,9554283678.92456
Pinnacle West Capital Corporation,Q26110522,PNW,electricity supply company,http://www.wikidata.org/entity/Q26110522,9537945354.171753
PulteGroup,Q7259716,PHM,,http://www.wikidata.org/entity/Q7259716,9524960984.0
BorgWarner,Q825943,BWA,automotive industry,http://www.wikidata.org/entity/Q825943,9469189553.642273
GoDaddy,Q1416215,GDDY,web hosting service,http://www.wikidata.org/entity/Q1416215,9448919050.598145
Bunge Limited,Q1009458,BG,food industry,http://www.wikidata.org/entity/Q1009458,9438156257.629395
NiSource,Q1984481,NI,public utility,http://www.wikidata.org/entity/Q1984481,9312023763.036316
Chemours,Q20630716,CC,chemical industry,http://www.wikidata.org/entity/Q20630716,9137151690.65857
Atmos Energy,Q4817084,ATO,,http://www.wikidata.org/entity/Q4817084,9114045505.233765
Alaska Airlines,Q822614,ALK,,http://www.wikidata.org/entity/Q822614,9070178633.583069
Alaska Air Group,Q4033665,ALK,transport,http://www.wikidata.org/entity/Q4033665,9070178633.583069
Kohl's,Q967265,KSS,retail,http://www.wikidata.org/entity/Q967265,9061616003.509521
NRG Energy,Q6955139,NRG,electricity supply company,http://www.wikidata.org/entity/Q6955139,9047127078.904053
Live Nation Entertainment,Q1061903,LYV,show business,http://www.wikidata.org/entity/Q1061903,8893639196.243286
Lending Club,Q6522340,LC,finance,http://www.wikidata.org/entity/Q6522340,8739988438.545227
Camden Property Trust,Q5025803,CPT,real estate investment trust,http://www.wikidata.org/entity/Q5025803,8734201842.611328
Western Union,Q861042,WU,financial services,http://www.wikidata.org/entity/Q861042,8731141025.123596
YPF,Q2006989,YPF,petroleum industry,http://www.wikidata.org/entity/Q2006989,8706304328.573242
Centene Corporation,Q5059102,CNC,health care,http://www.wikidata.org/entity/Q5059102,8704279646.535278
Lennox International,Q224751,LII,,http://www.wikidata.org/entity/Q224751,8604886453.033447
Vail Resorts,Q16986288,MTN,ski industry,http://www.wikidata.org/entity/Q16986288,8579517402.29187
Fibria,Q1410766,fbr,pulp and paper industry,http://www.wikidata.org/entity/Q1410766,8549005271.475281
Voya Financial,Q5972276,VOYA,financial services,http://www.wikidata.org/entity/Q5972276,8485391429.382324
Ingersoll Rand,Q55453962,IR,,http://www.wikidata.org/entity/Q55453962,8478021316.253662
Cheetah Mobile,Q18111091,CMCM,mobile app,http://www.wikidata.org/entity/Q18111091,8468381730.73584
Ralph Lauren Corporation,Q1641437,RL,commerce,http://www.wikidata.org/entity/Q1641437,8412379852.311523
Raymond James Financial,Q7298901,RJF,investment,http://www.wikidata.org/entity/Q7298901,8358837128.585815
Harley-Davidson,Q192814,HOG,automotive industry,http://www.wikidata.org/entity/Q192814,8350324015.296936
Alpha Tomo Global Resoures Sdn Bhd,Q1472539,MAN,staffing industry,http://www.wikidata.org/entity/Q1472539,8343626805.381775
Pentair,Q7165001,PNR,,http://www.wikidata.org/entity/Q7165001,8319026364.349365
Burlington,Q4999220,BURL,retail,http://www.wikidata.org/entity/Q4999220,8310763030.660645
Lamb Weston,Q3216600,LW,,http://www.wikidata.org/entity/Q3216600,8254683611.564636
EQT,Q5323987,EQT,petroleum industry,http://www.wikidata.org/entity/Q5323987,8217023462.98938
Hyatt Hotels Corporation,Q1425063,H,hospitality industry,http://www.wikidata.org/entity/Q1425063,8187870161.933899
UGI Corporation,Q2852632,UGI,energy industry,http://www.wikidata.org/entity/Q2852632,8123007431.999207
Domino's Pizza,Q839466,DPZ,,http://www.wikidata.org/entity/Q839466,8106063056.013489
Huntsman Corporation,Q851361,HUN,chemical industry,http://www.wikidata.org/entity/Q851361,8069695961.929321
Autoliv,Q787044,ALV,automotive supplier,http://www.wikidata.org/entity/Q787044,7966588988.870361
Thor Industries,Q7796068,THO,leisure industry,http://www.wikidata.org/entity/Q7796068,7942250752.325439
Edwards Lifesciences,Q16966841,EW,medical device,http://www.wikidata.org/entity/Q16966841,7933205995.559692
Veeva Systems,Q24204493,VEEV,software industry,http://www.wikidata.org/entity/Q24204493,7871374748.422852
Wabtec,Q741707,WAB,transport industry,http://www.wikidata.org/entity/Q741707,7867351010.764526
Polaris,Q1850587,PII,automotive industry,http://www.wikidata.org/entity/Q1850587,7829311218.108368
Axalta Coating Systems,Q26215536,AXTA,,http://www.wikidata.org/entity/Q26215536,7785589367.966309
Knight-Swift Transportation,Q6422289,KNX,,http://www.wikidata.org/entity/Q6422289,7763929326.536133
James Hardie,Q6135535,JHX,building material,http://www.wikidata.org/entity/Q6135535,7763245639.949219
Vipshop,Q19854317,VIPS,e-commerce,http://www.wikidata.org/entity/Q19854317,7757221775.460754
Keysight Technologies,Q17551096,KEYS,,http://www.wikidata.org/entity/Q17551096,7737891248.97583
"Macy's, Inc.",Q5479360,M,retail,http://www.wikidata.org/entity/Q5479360,7733330163.955688
AerCap,Q4687934,AER,financial services,http://www.wikidata.org/entity/Q4687934,7731617878.817871
Pearson plc,Q1916402,PSO,construction,http://www.wikidata.org/entity/Q1916402,7730814085.509766
Kimco Realty,Q6410043,KIM,real estate investment trust,http://www.wikidata.org/entity/Q6410043,7729013842.354553
McEwen Mining,Q6801109,MUX,mining,http://www.wikidata.org/entity/Q6801109,7689892542.678833
Sun Communities,Q7638250,SUI,real estate investment trust,http://www.wikidata.org/entity/Q7638250,7684521954.89502
Janus Capital Group,Q1683034,JHG,finance,http://www.wikidata.org/entity/Q1683034,7667533223.625183
Janus Henderson,Q30325409,JHG,investment management,http://www.wikidata.org/entity/Q30325409,7667533223.625183
Jefferies & Company,Q325789,JEF,investment,http://www.wikidata.org/entity/Q325789,7660897777.773254
Aramark,Q625708,ARMK,food service,http://www.wikidata.org/entity/Q625708,7606053472.206116
Crown Holdings,Q5189378,CCK,product packaging industry,http://www.wikidata.org/entity/Q5189378,7604437500.0
Graco,Q5591659,GGG,,http://www.wikidata.org/entity/Q5591659,7579143524.597168
Allegion,Q16738121,ALLE,,http://www.wikidata.org/entity/Q16738121,7572950191.61377
FactSet,Q1885491,FDS,software industry,http://www.wikidata.org/entity/Q1885491,7538785557.164001
Macro Bank,Q2335199,BMA,economics of banking,http://www.wikidata.org/entity/Q2335199,7523682641.674042
Autohome,Q47016300,ATHM,,http://www.wikidata.org/entity/Q47016300,7494282737.808228
Sabesp,Q183184,sbs,water supply,http://www.wikidata.org/entity/Q183184,7465344097.341492
Xerox,Q152433,XRX,computer industry,http://www.wikidata.org/entity/Q152433,7423892986.047668
Hubbell Incorporated,Q21036456,HUBB,electronics industry,http://www.wikidata.org/entity/Q21036456,7419731085.232544
Steris,Q80947821,STE,health care industry,http://www.wikidata.org/entity/Q80947821,7401544960.413574
Advance Auto Parts,Q4686051,AAP,,http://www.wikidata.org/entity/Q4686051,7375066380.615234
Adient,Q26832896,ADNT,,http://www.wikidata.org/entity/Q26832896,7373953614.059448
Entergy,Q1344587,ETR,energy company,http://www.wikidata.org/entity/Q1344587,7346179954.910278
West Pharmaceutical Services (United States),Q30338243,WST,,http://www.wikidata.org/entity/Q30338243,7296764768.591309
Toll Brothers,Q7814310,TOL,,http://www.wikidata.org/entity/Q7814310,7290492509.498596
Qiagen,Q315287,QGEN,biotechnology,http://www.wikidata.org/entity/Q315287,7268134937.526703
Fluor,Q653581,FLR,construction,http://www.wikidata.org/entity/Q653581,7265502414.642334
Bausch Health,Q1700871,BHC,pharmaceutical industry,http://www.wikidata.org/entity/Q1700871,7264937600.059509
W. P. Carey & Co.,Q7945867,WPC,real estate investment trust,http://www.wikidata.org/entity/Q7945867,7233824829.368591
American Homes 4 Rent,Q20979194,AMH,real estate investment trust,http://www.wikidata.org/entity/Q20979194,7200123890.304565
AES Corporation,Q291508,AES,electricity generation,http://www.wikidata.org/entity/Q291508,7166026926.157593
Gildan Activewear,Q1524197,GIL,textile industry,http://www.wikidata.org/entity/Q1524197,7165787389.141113
Bio-Rad Laboratories,Q2904022,BIO,biotechnology,http://www.wikidata.org/entity/Q2904022,7162940118.04657
Brown & Brown,Q4976010,BRO,general insurance,http://www.wikidata.org/entity/Q4976010,7105210517.7508545
Wayfair,Q3540193,W,e-commerce,http://www.wikidata.org/entity/Q3540193,7080504025.889587
Arrow Electronics,Q2059537,ARW,product distribution,http://www.wikidata.org/entity/Q2059537,7046642541.564941
Helmerich & Payne,Q19604418,HP,,http://www.wikidata.org/entity/Q19604418,7018740413.726807
RPM International,Q48755,RPM,paint,http://www.wikidata.org/entity/Q48755,6997178615.585327
Acuity Brands,Q4677870,AYI,,http://www.wikidata.org/entity/Q4677870,6967945600.0
Toro,Q935059,TTC,mechanical engineering,http://www.wikidata.org/entity/Q935059,6954822957.91626
Great Plains Energy,Q5599779,GXP,electricity supply company,http://www.wikidata.org/entity/Q5599779,6947011081.672668
US Foods,Q1668265,USFD,foodservice distributor,http://www.wikidata.org/entity/Q1668265,6896400860.473389
Telecom Argentina,Q1544312,TEO,telecommunications,http://www.wikidata.org/entity/Q1544312,6832703696.19873
RPT Realty,Q7289304,RPT,real estate investment trust,http://www.wikidata.org/entity/Q7289304,6805285378.044434
Carlisle Companies,Q5041354,CSL,industrial manufacturing,http://www.wikidata.org/entity/Q5041354,6789076046.15097
Oshkosh Corporation,Q1969091,OSK,automotive industry,http://www.wikidata.org/entity/Q1969091,6784574894.439697
Robert Half,Q2157448,RHI,employment services industry,http://www.wikidata.org/entity/Q2157448,6784488811.836243
Jones Lang LaSalle,Q1703389,JLL,,http://www.wikidata.org/entity/Q1703389,6757519701.672363
Service Corporation International,Q11306218,SCI,funeral services industry,http://www.wikidata.org/entity/Q11306218,6753091563.338135
McCormick & Company,Q1915049,MKC,food industry,http://www.wikidata.org/entity/Q1915049,6711130426.16272
KT Corporation,Q485908,KT,mobile phone industry,http://www.wikidata.org/entity/Q485908,6687401778.038818
Tyler Technologies,Q48802335,TYL,software industry,http://www.wikidata.org/entity/Q48802335,6651432219.648743
Amphenol,Q474621,APH,electronics,http://www.wikidata.org/entity/Q474621,6628922004.808472
Oklahoma Gas & Electric,Q2007484,OGE,,http://www.wikidata.org/entity/Q2007484,6572258609.527588
Teledyne Technologies,Q7696127,TDY,conglomerate,http://www.wikidata.org/entity/Q7696127,6535728744.790649
PLDT,Q644167,PHI,telecommunications,http://www.wikidata.org/entity/Q644167,6498964463.516235
First Horizon National Corporation,Q1419446,FHN,financial services,http://www.wikidata.org/entity/Q1419446,6475620655.77533
First Horizon Bank,Q5453875,FHN,financial services,http://www.wikidata.org/entity/Q5453875,6475620655.77533
Old Republic International,Q7084833,ORI,insurance,http://www.wikidata.org/entity/Q7084833,6466594546.165466
Ultrapar,Q1579222,UGP,petroleum industry,http://www.wikidata.org/entity/Q1579222,6465866589.782715
National Retail Properties,Q6978096,NNN,real estate investment trust,http://www.wikidata.org/entity/Q6978096,6436419104.358032
Marriott Vacations Worldwide Corporation,Q6772994,VAC,tourism,http://www.wikidata.org/entity/Q6772994,6359913648.802185
Donaldson Company,Q5295362,DCI,membrane,http://www.wikidata.org/entity/Q5295362,6357283449.085236
Dolby,Q261288,DLB,audio signal processing,http://www.wikidata.org/entity/Q261288,6326356000.0
Leggett & Platt,Q1812555,LEG,bedding,http://www.wikidata.org/entity/Q1812555,6265517039.909363
"Reliance, Inc.",Q7311031,RS,,http://www.wikidata.org/entity/Q7311031,6254417068.745422
Newfield Exploration,Q7017778,NFX,petroleum industry,http://www.wikidata.org/entity/Q7017778,6233071497.980896
Under Armour,Q2031485,UA,clothing industry,http://www.wikidata.org/entity/Q2031485,6181279058.380127
Park Hotels & Resorts,Q55075186,PK,hospitality industry,http://www.wikidata.org/entity/Q55075186,6176966480.0
Empire State Realty Trust,Q27146006,ESRT,,http://www.wikidata.org/entity/Q27146006,6167561052.039978
The Scotts Miracle-Gro Company,Q2414097,SMG,horticulture,http://www.wikidata.org/entity/Q2414097,6155145276.1024475
Plains GP Holdings,Q19730939,PAGP,,http://www.wikidata.org/entity/Q19730939,6145385613.601685
Genpact,Q1007000,G,professional service,http://www.wikidata.org/entity/Q1007000,6122741429.768005
Wright Express,Q8038212,WEX,,http://www.wikidata.org/entity/Q8038212,6084555413.931274
BlackBerry,Q502121,BB,information technology,http://www.wikidata.org/entity/Q502121,6058574442.021606
Frost Bank,Q5506152,CFR,financial services,http://www.wikidata.org/entity/Q5506152,6048873367.515564
BWX Technologies,Q4836852,BWXT,,http://www.wikidata.org/entity/Q4836852,6029624978.34906
Antero Resources,Q39046155,AR,petroleum industry,http://www.wikidata.org/entity/Q39046155,5997026848.0
Western Alliance Bancorporation,Q106238038,WAL,bank,http://www.wikidata.org/entity/Q106238038,5983035287.132263
Guidewire Software,Q5615528,GWRE,,http://www.wikidata.org/entity/Q5615528,5960389959.461975
Olin Corporation,Q7086908,OLN,chemical industry,http://www.wikidata.org/entity/Q7086908,5945418305.969238
AECOM,Q2825507,ACM,construction,http://www.wikidata.org/entity/Q2825507,5913128295.672607
Starwood Property Trust,Q106241909,STWD,,http://www.wikidata.org/entity/Q106241909,5878765305.038452
Quanta Services,Q7268886,PWR,,http://www.wikidata.org/entity/Q7268886,5869902974.48584
Intrepid Potash,Q6058618,IPI,,http://www.wikidata.org/entity/Q6058618,5836902212.890625
Eldorado Gold,Q1232862,EGO,mining,http://www.wikidata.org/entity/Q1232862,5809425184.686707
EPAM Systems,Q1275613,EPAM,outsourcing,http://www.wikidata.org/entity/Q1275613,5800339090.47699
Grupo Aeroportuario del Sureste,Q1407601,ASR,aviation,http://www.wikidata.org/entity/Q1407601,5747531743.011475
United Microelectronics Corporation,Q143616,UMC,semiconductor industry,http://www.wikidata.org/entity/Q143616,5740971451.98822
Brixmor Property Group,Q17512182,BRX,real estate investment trust,http://www.wikidata.org/entity/Q17512182,5697178002.692627
Copa Holdings,Q5168189,CPA,,http://www.wikidata.org/entity/Q5168189,5687884170.41626
Copa Airlines,Q849404,CPA,,http://www.wikidata.org/entity/Q849404,5687884170.41626
CCU,Q2990393,ccu,brewing industry,http://www.wikidata.org/entity/Q2990393,5687494721.970581
Grupo Aeroportuario del Pacífico,Q5612177,PAC,aviation,http://www.wikidata.org/entity/Q5612177,5670368849.878693
HEICO,Q5629432,HEI,,http://www.wikidata.org/entity/Q5629432,5668837737.195587
AGCO,Q292292,AGCO,industrial manufacturing,http://www.wikidata.org/entity/Q292292,5651449050.865112
Energen,Q5376825,EGN,petroleum industry,http://www.wikidata.org/entity/Q5376825,5595913583.616333
Allison Transmission,Q2036530,ALSN,,http://www.wikidata.org/entity/Q2036530,5583508620.437622
Banco de Chile,Q2882085,BCH,economics of banking,http://www.wikidata.org/entity/Q2882085,5575475942.080078
Hexcel,Q5748967,HXL,,http://www.wikidata.org/entity/Q5748967,5555707285.337158
Watsco,Q7974766,WSO,"heating, ventilation, and air conditioning",http://www.wikidata.org/entity/Q7974766,5540702169.230652
Carter's,Q5047083,CRI,,http://www.wikidata.org/entity/Q5047083,5532756736.40213
Booz Allen Hamilton,Q893221,BAH,consulting company,http://www.wikidata.org/entity/Q893221,5531252649.984009
Flowserve,Q1430331,FLS,,http://www.wikidata.org/entity/Q1430331,5503652689.533234
Civeo Corporation,Q17153461,CVEO,petroleum industry,http://www.wikidata.org/entity/Q17153461,5502303798.088074
H&R Block,Q5627799,HRB,,http://www.wikidata.org/entity/Q5627799,5486666166.075989
MSC Industrial Direct,Q6717732,MSM,,http://www.wikidata.org/entity/Q6717732,5459579324.84436
Kinross Gold,Q546880,KGC,mining,http://www.wikidata.org/entity/Q546880,5458017886.002136
Calpine,Q5023914,CPN,,http://www.wikidata.org/entity/Q5023914,5456453223.351746
Bright Horizons,Q4967421,BFAM,child care,http://www.wikidata.org/entity/Q4967421,5453118600.0
Eagle Materials,Q16249409,EXP,,http://www.wikidata.org/entity/Q16249409,5435352376.402283
DDR Corp.,Q1206686,DDR,real estate investment trust,http://www.wikidata.org/entity/Q1206686,5427332939.498901
Murphy Oil,Q951259,MUR,petroleum industry,http://www.wikidata.org/entity/Q951259,5373109466.37561
Canadian Pacific Kansas City,Q117706368,CP,logistics,http://www.wikidata.org/entity/Q117706368,5361410827.362427
Aptar,Q30273389,ATR,,http://www.wikidata.org/entity/Q30273389,5358988772.180176
Curtiss-Wright,Q1138291,CW,weapons industry,http://www.wikidata.org/entity/Q1138291,5335835803.1814575
CubeSmart,Q5192200,CUBE,self storage,http://www.wikidata.org/entity/Q5192200,5330707934.062958
Assurant,Q4810399,AIZ,insurance,http://www.wikidata.org/entity/Q4810399,5303518263.397217
Sonoco,Q7562151,SON,product packaging industry,http://www.wikidata.org/entity/Q7562151,5290783285.791504
Pool Corporation,Q101209811,POOL,,http://www.wikidata.org/entity/Q101209811,5257903642.474365
Charles River Laboratories,Q5082076,CRL,,http://www.wikidata.org/entity/Q5082076,5243946363.78479
Mortgage Guaranty Insurance Corporation,Q6914636,MTG,lenders mortgage insurance,http://www.wikidata.org/entity/Q6914636,5228700355.655914
Webster Bank,Q7978891,WBS,finance,http://www.wikidata.org/entity/Q7978891,5170960290.590393
AutoNation,Q784804,AN,retail,http://www.wikidata.org/entity/Q784804,5155534053.909302
Valvoline,Q16531742,VVV,chemical industry,http://www.wikidata.org/entity/Q16531742,5077782191.30658
Gerdau,Q1511043,GGB,metal industry,http://www.wikidata.org/entity/Q1511043,5070064664.421082
Schneider National,Q7431894,SNDR,logistics,http://www.wikidata.org/entity/Q7431894,5055091573.952332
CAE Inc.,Q180922,CAE,aerospace engineering,http://www.wikidata.org/entity/Q180922,5038186391.987915
RenaissanceRe,Q16984071,RNR,,http://www.wikidata.org/entity/Q16984071,5026588895.428467
Air Lease,Q4698062,AL,financial services,http://www.wikidata.org/entity/Q4698062,4983181995.811462
VirnetX,Q17087047,VHC,internet security,http://www.wikidata.org/entity/Q17087047,4940432400.0
Icl Group Ltd,Q903957,ICL,,http://www.wikidata.org/entity/Q903957,4934657888.765381
Transocean,Q686785,RIG,list of oilfield service companies,http://www.wikidata.org/entity/Q686785,4930411375.444092
Prosperity Bancshares,Q7250893,PB,economics of banking,http://www.wikidata.org/entity/Q7250893,4892217308.692932
EPR Properties,Q48977470,EPR,,http://www.wikidata.org/entity/Q48977470,4866904848.091187
JBG Smith,Q17109683,JBGS,real property,http://www.wikidata.org/entity/Q17109683,4866679828.014038
EMCOR,Q5370289,EME,engineering,http://www.wikidata.org/entity/Q5370289,4837850550.0
Core Laboratories,Q5170174,CLB,petroleum industry,http://www.wikidata.org/entity/Q5170174,4835328989.6987915
Pampa Energía,Q2838738,pam,energy supply,http://www.wikidata.org/entity/Q2838738,4819010648.565674
Graphic Packaging,Q5597139,GPK,,http://www.wikidata.org/entity/Q5597139,4793887740.818024
Brunswick Corporation,Q994153,BC,,http://www.wikidata.org/entity/Q994153,4788833121.862793
Healthpeak Properties,Q16975567,DOC,real estate investment trust,http://www.wikidata.org/entity/Q16975567,4779264306.018829
Paycom,Q17084959,PAYC,human resource management,http://www.wikidata.org/entity/Q17084959,4754146399.36676
Pediatrix Medical Group,Q16981865,MD,,http://www.wikidata.org/entity/Q16981865,4722973638.629913
National Fuel Gas,Q12859164,NFG,fossil fuel,http://www.wikidata.org/entity/Q12859164,4699318588.941193
ITT Corporation,Q582418,ITT,industrial manufacturing,http://www.wikidata.org/entity/Q582418,4673237216.472626
Dana Corporation,Q5214701,DAN,automotive industry,http://www.wikidata.org/entity/Q5214701,4656078069.775269
Maximus Inc.,Q6795931,MMS,government contractor,http://www.wikidata.org/entity/Q6795931,4643358928.779602
Idacorp,Q5987232,IDA,,http://www.wikidata.org/entity/Q5987232,4603886238.757324
Hanover Insurance,Q5649395,THG,insurance,http://www.wikidata.org/entity/Q5649395,4590698077.774048
Avnet,Q4829076,AVT,electronics,http://www.wikidata.org/entity/Q4829076,4586450696.353912
Teradata,Q430745,TDC,,http://www.wikidata.org/entity/Q430745,4580585890.960693
Floor & Decor,Q56280964,FND,retail,http://www.wikidata.org/entity/Q56280964,4580038356.712341
ServiceNow,Q7455653,NOW,enterprise software,http://www.wikidata.org/entity/Q7455653,4555826445.388794
NewMarket Corporation,Q17562023,NEU,chemical industry,http://www.wikidata.org/entity/Q17562023,4531835727.050781
Rollins Inc.,Q7361273,ROL,pest control,http://www.wikidata.org/entity/Q7361273,4507723231.960693
