company,company_id,exchange,ticker,industry,market_cap,market_cap_date,company_url,revenue,revenue_date
Teledyne Technologies,Q7696127,New York Stock Exchange,TDY,conglomerate,,,http://www.wikidata.org/entity/Q7696127,1240000000.0,2018-01-01 00:00:00+00:00
Aerojet Rocketdyne Holdings,Q392445,New York Stock Exchange,,,,,http://www.wikidata.org/entity/Q392445,1220000000.0,2018-01-01 00:00:00+00:00
Kaman Corporation,Q1722848,Nasdaq,KAMN,aerospace industry,,,http://www.wikidata.org/entity/Q1722848,1206000000.0,2006-01-01 00:00:00+00:00
Applebee's,Q621532,Nasdaq,APPB,system catering,,,http://www.wikidata.org/entity/Q621532,1200000000.0,2006-01-01 00:00:00+00:00
Kodak,Q486269,New York Stock Exchange,KODK,chemical industry,,,http://www.wikidata.org/entity/Q486269,1117000000.0,2023-01-01 00:00:00+00:00
Markit,Q17103838,Nasdaq,MRKT,financial services,,,http://www.wikidata.org/entity/Q17103838,1113400000.0,2015-01-01 00:00:00+00:00
Overstock.com,Q3301958,Nasdaq,OSTK,retail,31000000.0,2012-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q3301958,1100000000.0,2012-01-01 00:00:00+00:00
Qualtrics,Q7268803,Nasdaq,XM,,,,http://www.wikidata.org/entity/Q7268803,1080000000.0,2021-01-01 00:00:00+00:00
BlackBerry,Q502121,Nasdaq,BBRY,information technology,6882000000.0,2021-06-26 00:00:00+00:00,http://www.wikidata.org/entity/Q502121,1040000000.0,2020-01-01 00:00:00+00:00
BlackBerry,Q502121,New York Stock Exchange,BB,information technology,6882000000.0,2021-06-26 00:00:00+00:00,http://www.wikidata.org/entity/Q502121,1040000000.0,2020-01-01 00:00:00+00:00
Sotheby's,Q654762,New York Stock Exchange,BID,auction,,,http://www.wikidata.org/entity/Q654762,1035740000.0,2018-12-01 00:00:00+00:00
CAE Inc.,Q180922,New York Stock Exchange,CAE,aerospace engineering,,,http://www.wikidata.org/entity/Q180922,1010000000.0,2018-01-01 00:00:00+00:00
Fortinet,Q2749364,Nasdaq,FTNT,computer security,,,http://www.wikidata.org/entity/Q2749364,1010000000.0,2015-01-01 00:00:00+00:00
DXC Technology,Q28782856,New York Stock Exchange,DXC,quaternary sector of the economy,,,http://www.wikidata.org/entity/Q28782856,1000000000.0,2017-01-01 00:00:00+00:00
International,Q29739,New York Stock Exchange,NAV,automotive industry,,,http://www.wikidata.org/entity/Q29739,1000000000.0,2012-01-01 00:00:00+00:00
Curtiss-Wright,Q1138291,New York Stock Exchange,CW,weapons industry,,,http://www.wikidata.org/entity/Q1138291,970000000.0,2018-01-01 00:00:00+00:00
Groupon,Q852787,Nasdaq,GRPN,e-commerce,,,http://www.wikidata.org/entity/Q852787,967108000.0,2021-01-01 00:00:00+00:00
Novell,Q223407,Nasdaq,NOVL,software industry,,,http://www.wikidata.org/entity/Q223407,956000000.0,2008-01-01 00:00:00+00:00
Ball Corporation,Q4034815,New York Stock Exchange,BLL,mechanical engineering,,,http://www.wikidata.org/entity/Q4034815,930000000.0,2018-01-01 00:00:00+00:00
FEI Company,Q2004423,Nasdaq,FEIC,,,,http://www.wikidata.org/entity/Q2004423,927500000.0,2013-01-01 00:00:00+00:00
Moog Inc.,Q6907265,New York Stock Exchange,,aerospace engineering,,,http://www.wikidata.org/entity/Q6907265,920000000.0,2018-01-01 00:00:00+00:00
Precision Castparts Corp.,Q7239519,New York Stock Exchange,PCP,aerospace engineering,,,http://www.wikidata.org/entity/Q7239519,900000000.0,2017-01-01 00:00:00+00:00
"Tableau Software, Inc.",Q7673435,New York Stock Exchange,DATA,automation,,,http://www.wikidata.org/entity/Q7673435,877000000.0,2017-01-01 00:00:00+00:00
Shutterstock,Q3482689,New York Stock Exchange,SSTK,production music,,,http://www.wikidata.org/entity/Q3482689,875000000.0,2023-01-01 00:00:00+00:00
Viasat,Q7924358,Nasdaq,VSAT,communication,,,http://www.wikidata.org/entity/Q7924358,860000000.0,2018-01-01 00:00:00+00:00
California Water Service Group,Q104845916,New York Stock Exchange,CWT,water supply,,,http://www.wikidata.org/entity/Q104845916,846431000.0,2022-01-01 00:00:00+00:00
Arconic,Q92639564,New York Stock Exchange,ARNC,industrial manufacturing,,,http://www.wikidata.org/entity/Q92639564,840000000.0,2018-01-01 00:00:00+00:00
AAR Corp,Q4649932,New York Stock Exchange,AIR,aerospace industry,,,http://www.wikidata.org/entity/Q4649932,830000000.0,2013-01-01 00:00:00+00:00
Esterline,Q18148411,New York Stock Exchange,ESL,aerospace industry,,,http://www.wikidata.org/entity/Q18148411,800000000.0,2012-01-01 00:00:00+00:00
Triumph Group,Q15507516,New York Stock Exchange,TGI,industrial manufacturing,,,http://www.wikidata.org/entity/Q15507516,770000000.0,2016-01-01 00:00:00+00:00
Birkenstock,Q648458,New York Stock Exchange,BIRK,footwear industry,,,http://www.wikidata.org/entity/Q648458,750000000.0,2022-01-01 00:00:00+00:00
Fiesta Restaurant Group,Q91360366,Nasdaq,FRGI,restaurant,,,http://www.wikidata.org/entity/Q91360366,660943000.0,2019-01-01 00:00:00+00:00
Empire State Realty Trust,Q27146006,New York Stock Exchange,ESRT,,,,http://www.wikidata.org/entity/Q27146006,657634000.0,2015-01-01 00:00:00+00:00
Cloudflare,Q4778915,New York Stock Exchange,NET,information and communications technology,,,http://www.wikidata.org/entity/Q4778915,656426000.0,2021-01-01 00:00:00+00:00
Stratasys,Q3975878,Nasdaq,SSYS,3D printing,1101000000.0,2019-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q3975878,636080000.0,2019-01-01 00:00:00+00:00
3D Systems,Q4636301,New York Stock Exchange,DDD,computer-aided design,1036000000.0,2019-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q4636301,629000000.0,2019-01-01 00:00:00+00:00
Manchester United plc,Q27346385,New York Stock Exchange,MANU,sports industry,,,http://www.wikidata.org/entity/Q27346385,627122000.0,2019-01-01 00:00:00+00:00
Rubrik,Q55632076,New York Stock Exchange,RBRK,computer security,,,http://www.wikidata.org/entity/Q55632076,600000000.0,2022-01-01 00:00:00+00:00
National Western Life,Q4045074,Nasdaq,NWLI,insurance industry,,,http://www.wikidata.org/entity/Q4045074,600000000.0,2011-01-01 00:00:00+00:00
Lucid Motors,Q28027517,Nasdaq,LCID,automotive industry,,,http://www.wikidata.org/entity/Q28027517,595000000.0,2023-01-01 00:00:00+00:00
Azenta Life Sciences,Q117169721,Nasdaq,AZTA,biotechnology,,,http://www.wikidata.org/entity/Q117169721,555498000.0,2022-01-01 00:00:00+00:00
Trivago,Q265286,Nasdaq,TRVG,tourism,,,http://www.wikidata.org/entity/Q265286,535004000.0,2022-01-01 00:00:00+00:00
Despegar,Q6216567,New York Stock Exchange,DESP,tourism industry,602938304.0,2020-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q6216567,524876000.0,2019-01-01 00:00:00+00:00
Zagg,Q8064381,Nasdaq,ZAGG,consumer electronics industry,,,http://www.wikidata.org/entity/Q8064381,521922000.0,2019-01-01 00:00:00+00:00
Extreme Networks,Q2034659,Nasdaq,EXTR,networking hardware,,,http://www.wikidata.org/entity/Q2034659,519500000.0,2014-01-01 00:00:00+00:00
"Roku, Inc.",Q7360089,Nasdaq,ROKU,consumer electronics industry,,,http://www.wikidata.org/entity/Q7360089,512760000.0,2017-01-01 00:00:00+00:00
Yelp,Q2299611,New York Stock Exchange,YELP,information technology,,,http://www.wikidata.org/entity/Q2299611,500000000.0,2014-01-01 00:00:00+00:00
Strategy,Q1192211,Nasdaq,MSTR,analytics,79460000000.0,2025-01-01 00:00:00+00:00,http://www.wikidata.org/entity/Q1192211,477233000.0,2025-01-01 00:00:00+00:00
Ruth's Hospitality Group,Q7382830,Nasdaq,RUTH,restaurant,,,http://www.wikidata.org/entity/Q7382830,468026000.0,2020-01-01 00:00:00+00:00
Potbelly Sandwich Shop,Q7234777,Nasdaq,PBPB,fast casual restaurant,,,http://www.wikidata.org/entity/Q7234777,409707000.0,2019-01-01 00:00:00+00:00
Quantum Corporation,Q1413997,Nasdaq,QMCO,computer storage media,,,http://www.wikidata.org/entity/Q1413997,402680000.0,2019-01-01 00:00:00+00:00
Tidewater,Q7800873,New York Stock Exchange,TDW,water transport,,,http://www.wikidata.org/entity/Q7800873,397040000.0,2020-12-31 00:00:00+00:00
Nature's Sunshine Products,Q4045079,Nasdaq,NATR,food industry,,,http://www.wikidata.org/entity/Q4045079,324705000.0,2015-01-01 00:00:00+00:00
Gulf Island Fabrication,Q24896598,Nasdaq,GIFI,,,,http://www.wikidata.org/entity/Q24896598,303308000.0,2019-01-01 00:00:00+00:00
eToro,Q5324516,Nasdaq,ETOR,information technology,,,http://www.wikidata.org/entity/Q5324516,217000000.0,2025-05-01 00:00:00+00:00
Wix.com,Q420506,Nasdaq,WIX,Internet,,,http://www.wikidata.org/entity/Q420506,203540000.0,2015-01-01 00:00:00+00:00
Audiocodes Ltd.,Q2895117,Nasdaq,AUDC,telecommunications,2195729000.0,2022-11-15 00:00:00+00:00,http://www.wikidata.org/entity/Q2895117,200287000.0,2019-12-31 00:00:00+00:00
Broderbund,Q995863,Nasdaq,BROD,video game industry,,,http://www.wikidata.org/entity/Q995863,172000000.0,1995-08-31 00:00:00+00:00
Matterport,Q107520260,Nasdaq,MTTR,,,,http://www.wikidata.org/entity/Q107520260,157748000.0,2023-12-31 00:00:00+00:00
ZipRecruiter,Q8072594,New York Stock Exchange,ZIP,software industry,,,http://www.wikidata.org/entity/Q8072594,140000000.0,2016-01-01 00:00:00+00:00
Nebius Group,Q47120756,Nasdaq,YNDX,information technology industry,1117004321756.0,2024-02-16 00:00:00+00:00,http://www.wikidata.org/entity/Q47120756,117500000.0,2024-12-31 00:00:00+00:00
Emmis Communications,Q5373589,Nasdaq,EMMS,broadcasting,,,http://www.wikidata.org/entity/Q5373589,114131000.0,2019-01-01 00:00:00+00:00
BioNTech,Q30256699,Nasdaq,BNTX,pharmaceutical industry,,,http://www.wikidata.org/entity/Q30256699,108589000.0,2019-01-01 00:00:00+00:00
Ultralife Corporation,Q17086475,Nasdaq,ULBI,,,,http://www.wikidata.org/entity/Q17086475,106795000.0,2019-01-01 00:00:00+00:00
Opera,Q215639,Nasdaq,OPRA,marketing,,,http://www.wikidata.org/entity/Q215639,99200000.0,2017-01-01 00:00:00+00:00
AutoNavi Holdings Limited,Q51744,Nasdaq,AMAP,,,,http://www.wikidata.org/entity/Q51744,80000000.0,2010-01-01 00:00:00+00:00
Perma-Fix Environmental Services,Q30256497,Nasdaq,PESI,,,,http://www.wikidata.org/entity/Q30256497,73459000.0,2019-01-01 00:00:00+00:00
MannKind Corporation,Q6750663,Nasdaq,MNKD,biotechnology,,,http://www.wikidata.org/entity/Q6750663,63038000.0,2019-01-01 00:00:00+00:00
ExOne,Q96575974,Nasdaq,XONE,industrial manufacturing,,,http://www.wikidata.org/entity/Q96575974,53276000.0,2019-01-01 00:00:00+00:00
Exagen Inc.,Q106435940,Nasdaq,XGN,life sciences,,,http://www.wikidata.org/entity/Q106435940,42000000.0,2020-01-01 00:00:00+00:00
Aphria,Q48814381,New York Stock Exchange,APHA,cannabis industry,,,http://www.wikidata.org/entity/Q48814381,36920000.0,2018-01-01 00:00:00+00:00
Rocky Mountain Chocolate,Q7355878,Nasdaq,RMCF,,,,http://www.wikidata.org/entity/Q7355878,32342579.0,2022-01-01 00:00:00+00:00
Digimarc,Q5275736,Nasdaq,DMRC,,,,http://www.wikidata.org/entity/Q5275736,22987000.0,2019-01-01 00:00:00+00:00
Funko,Q5509271,Nasdaq,FNKO,game industry,,,http://www.wikidata.org/entity/Q5509271,20000000.0,2012-01-01 00:00:00+00:00
Phunware,Q78203110,Nasdaq,PHUN,,,,http://www.wikidata.org/entity/Q78203110,19150000.0,2019-01-01 00:00:00+00:00
CounterPath Corporation,Q5176904,Nasdaq,,,21500000.0,2022-03-05 00:00:00+00:00,http://www.wikidata.org/entity/Q5176904,12100000.0,2020-01-01 00:00:00+00:00
Athersys,Q30284052,Nasdaq,ATHX,,,,http://www.wikidata.org/entity/Q30284052,5633000.0,2019-01-01 00:00:00+00:00
The Children's Place,Q3520257,Nasdaq,PLCE,,,,http://www.wikidata.org/entity/Q3520257,5369936.0,2023-01-01 00:00:00+00:00
Virgin Galactic,Q373225,New York Stock Exchange,SPCE,space tourism,9490000000.0,2021-06-23 00:00:00+00:00,http://www.wikidata.org/entity/Q373225,238000.0,2020-01-01 00:00:00+00:00
Hyundai Motor Company,Q55931,Nasdaq,HYMTF,automotive industry,,,http://www.wikidata.org/entity/Q55931,117.61,2021-01-01 00:00:00+00:00
Nio Inc.,Q29921278,New York Stock Exchange,NIO,automotive industry,,,http://www.wikidata.org/entity/Q29921278,16.258,2020-01-01 00:00:00+00:00
Telefônica Brasil,Q20059505,New York Stock Exchange,VIV,telecommunications,,,http://www.wikidata.org/entity/Q20059505,11.1,2018-01-01 00:00:00+00:00
Nexstar Media Group,Q7020906,Nasdaq,NXST,telecommunications,,,http://www.wikidata.org/entity/Q7020906,4.5,2020-01-01 00:00:00+00:00
Gogoro,Q19880591,Nasdaq,GGR,,,,http://www.wikidata.org/entity/Q19880591,3.5,2023-01-01 00:00:00+00:00
4Kids Entertainment,Q604775,New York Stock Exchange,KDE,,,,http://www.wikidata.org/entity/Q604775,3.31,2012-01-01 00:00:00+00:00
Tegna Inc.,Q20648663,New York Stock Exchange,TGNA,,,,http://www.wikidata.org/entity/Q20648663,2.91,2023-01-01 00:00:00+00:00
USA Today Co.,Q1345971,New York Stock Exchange,GCI,mass media,,,http://www.wikidata.org/entity/Q1345971,2.9,2022-01-01 00:00:00+00:00
E. W. Scripps Company,Q283457,New York Stock Exchange,SSP,broadcast television system,,,http://www.wikidata.org/entity/Q283457,1.42,2019-01-01 00:00:00+00:00
